Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Assam State Transport Corporation (ASTC) - 156590,Bharat Benz A/C Seater (2+2),14:00,18:30,04h 30m,INR 298,16 Seats available,"4.7
37",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Chartered Bus - ASTC,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),13:00,17:00,04h 00m,INR 397.08,20 Seats available,"4.5
477",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,15:30,19:15,03h 45m,INR 397.08,8 Seats available,"4.4
439",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:15,03:00,05h 45m,INR 450,29 Seats available,"3.4
91",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),21:45,03:15,05h 30m,450,11 Seats available,"3.6
25",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
BARBIE TRAVELS,A/C Seater Push Back (2+2),13:10,17:50,04h 40m,INR 350,29 Seats available,"2.8
8",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Himalayan Travels,NON AC Seater / Sleeper 2+1,23:40,04:00,04h 20m,INR 500,9 Seats available,"1.7
21",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Laxmi Travels,A/C Seater (2+1),13:15,18:15,05h 00m,540,16 Seats available,4.4,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Shopuris Travels,Non AC Seater (2+1),21:15,03:00,05h 45m,540,23 Seats available,New,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Orient Transline,A/C Seater (2+1),13:00,17:10,04h 10m,INR 380.95,7 Seats available,"4.3
198",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahi Travels(Under ASTC),A/C Seater (2+2),14:15,17:50,03h 35m,377,37 Seats available,"4.3
163",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Mahalaxmi Travels,A/C Seater (2+2),14:35,18:15,03h 40m,INR 310,40 Seats available,"3.5
25",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
