Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
APSRTC - 3589,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",7:15,15:40,08h 25m,INR 480,33 Seats available,"4.5
11",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 3581,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),7:45,13:35,05h 50m,INR 720,25 Seats available,"4.2
80",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 1446,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",8:00,14:40,06h 40m,INR 480,33 Seats available,"4.2
7",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 3593,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",8:45,17:10,08h 25m,INR 480,33 Seats available,"3.1
4",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 35119,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),9:30,15:45,06h 15m,INR 720,38 Seats available,"4.3
58",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 4044,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",9:45,16:35,06h 50m,INR 480,29 Seats available,"3.8
6",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 3543,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",10:15,17:20,07h 05m,INR 469,33 Seats available,"2.3
22",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 23700,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",10:15,15:50,05h 35m,INR 436,32 Seats available,4,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 9310,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",10:15,16:50,06h 35m,INR 448,33 Seats available,"3.5
11",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
APSRTC - 3657,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),10:30,16:25,05h 55m,INR 720,45 Seats available,"4.3
108",https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad
