Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:05,09:00,11h 55m,INR 900,19 Seats available,"4.2
683",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Amrutyog,A/C Sleeper (2+1),22:05,09:30,11h 25m,INR 900,20 Seats available,"4.4
528",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),23:00,10:15,11h 15m,INR 1000,19 Seats available,"4.1
503",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:15,08:05,10h 50m,INR 600,27 Seats available,"4.5
547",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,VE A/C Sleeper (2+1),22:30,08:45,10h 15m,INR 900,17 Seats available,"4.6
558",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Travels,NON A/C Sleeper (2+1),19:30,06:15,10h 45m,INR 701,13 Seats available,"4.1
354",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Vip Yellows,A/C Sleeper (2+1),20:35,08:30,11h 55m,INR 1000,14 Seats available,"4.1
465",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),23:45,10:55,11h 10m,900,25 Seats available,"4.3
449",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,VE A/C Sleeper (2+1),21:00,07:30,10h 30m,INR 900,13 Seats available,"4.7
657",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),22:30,09:35,11h 05m,INR 900,18 Seats available,"4.2
371",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray National Express,NON A/C Sleeper (2+1),20:05,06:45,10h 40m,INR 700,16 Seats available,"4.3
314",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:00,07:15,11h 15m,INR 599,16 Seats available,"4.1
287",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Anand Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),21:15,07:55,10h 40m,INR 1001,26 Seats available,"4.1
269",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:30,09:30,11h 00m,INR 920,27 Seats available,"4.2
301",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),20:30,07:25,10h 55m,INR 900,12 Seats available,"4.2
444",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Prasanna - Purple Bus,VE A/C Sleeper (2+1),21:30,08:30,11h 00m,INR 920,22 Seats available,"4.0
121",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
